제목,본문,목표가,투자의견,작성일,증권사
이보다 좋을 순 없다,"1Q24 Review: 전체 법인 고른 성장세로 영업이익 시장기대치 상회
24년 1분기 실적은 매출액 5,268억원(+31% YoY), 영업이익 455억원(+229% YoY)을 기록하며 영업이익 시장기대치 386억원을 18% 상회하였다. 코로나 팬데믹의 영향이 줄어든 상황에서 모든 법인이 고른 성장세를 보였으며, 매출 호조에 따른 이익 레버리지 효과와 원가율의 감소(전년 동기 86%에서 81%로 하락)로 영업이익이 크게 성장하였다. ① 별도 법인: 매출액 3,154억원(+30% YoY), 영업이익 301억원(+131% YoY)을 기록하였다. 간접수출 및 직수출 호조가 외형 성장을 견인하였다. 매출 성장에 따른 이익 레버리지 효과로 원가율이 개선되었고, 고수익 제품군 비중이 증가하며 영업이익률이 개선(OPM 5.3%에서 9.5%로 상승)되었다. ② 중국 법인: 매출액 1,574억원(+29% YoY), 상하이 1,076억원(+17.5% YoY), 광저우 468억원(57.7% YoY)을 기록하였다. 메이크업, 인디 브랜드 중심으로 매출이 성장 중이고 이센 JV 실적은 1분기부터 연결실적으로 반영되었다. ③ 미국 법인: 매출액 388억원(+43.2% YoY), 순손실 138억원을 기록하였다. 전년동기 기저 효과, 2분기 물량 일부를 선생산하며 높은 매출 성장률을 보였다. 최근 미국 시장은 선(Sun) 제품에 대한 관심과 수요가 급증하고 있다. 다양한 브랜드사들로부터 들어오는 OTC 프로젝트들을 적극적으로 수주하며 선 시장을 공략 중이다. 순손실과 관련하여 미국 법인은 2020년, 2021년에 정부로부터 코로나19 관련 보조금 약 230억원을 수령했으나 에이전트의 처리 오류로 인해 부적절하게 수령된 금액이 일부 확인되었다. 2024년 1분기에 영업 외 손실에 80억원으로 반영된 금액 중 절반 이상이 반환해야 할 금액으로 추정된다. 추가적인 손실 발생 가능성도 있는 것으로 파악된다.","200,000",Buy,24.05.20,유안타증권
1분기 서프라이즈는  시작일 뿐,"NDR 주요내용: 1분기 서프라이즈는 시작일 뿐
1분기는 1)가파른 패키지 송출객 수 성장, 2)높은 중고가 패키지 판매 비중 유지, 3)온라인 판매 비중 확대 및 영업레버리지 효과로 분기 역대 최대 실적 경신. 2분기의 경우 비수기 영향으로 송출객 수 QoQ -15% 예상. 3분기부터는 성수기 및 추석 연휴가 포함되어 있어 최대 실적 경신할 것으로 기대. 특히, 미국, 유럽 등 장거리 수요가 확대되어 이익률 개선세는 지속될 전망. 중국 패키지 부문의 경우 계절성 영향 없이 4월까지 월별 송출객 수가 지속 증가하는 추세. 2024년 가장 높은 성장률을 기록하는 지역이 될 것으로 예상 동사는 올해 12월 코로나 이전 수준(월 송출객 수 30만명)의 송출객 수를 회복할 것으로 예상하며, 2025년 월 평균 30만명의 송출객 수 기록할 것으로 기대. 25년 월 평균 30만명의 패키지 부문 송출객 수 기록 시 현재 컨센서스의 +40% 영업수익 서프라이즈를 기록할 것으로 예상. 특히 온라인 비중 확대, 무형자산상각비 소멸 효과 및 영업 레버리지 효과 감안 시 영업이익은 그 이상의 서프라이즈가 예상됨. 향후 3분기 월 30만명에 근전합 수준의 송출객 수 기록 시 이익 및 목표주가 즉시 상향할 계획","85,000",Buy,24.05.20,대신증권
2분기 탑라인 성장 기대,"매수 의견과 목표주가 19,000원 유지
SK오션플랜트에 대한 매수 의견과 목표주가를 유지한다. 매출 인식과 신규 수주 지연이 아직 발생하고 있기는 하지만 24년 가이던스가 하향되지 않았고, 특수선 및 후육강관 등을 통해 탑라인은 견조하게 유지되는 점에 대해 긍정적으로 판단한다. 다만, 해상풍력 외 비중이 높아지며 수익성은 소폭 낮아질 것으로 예상한다. 24년 하반기에도 해상풍력 업황이 어렵겠지만, 경쟁력 높은 동사는 상대적으로 고른 실적을 기록할 것으로 전망한다. 피어 그룹 대비 품질이나 납기를 맞추는 능력은 이미 트랙 레코드로 증명되는 상황이다. 동사의 경쟁력 및 금리 하락을 기대하며 매수 의견을 유지한다.","19,000",매수,24.05.20,미래에셋증권
"1Q24 Review: 예상을 상회한 실적 시현, 목표..","2024년 1분기 순이익(연결) 6,221억원, YoY 12.0%↓, QoQ 39.6%↑
삼성생명의 2024년 1분기 당기순이익(지배회사지분 연결기준)은 6,221억원으로 전년동기에 비해 12.0% 감소했으나, 전분기에 비해서는 39.6% 증가함. 전년동기대비 이익이 감소한 이유는 보험서비스손익 및 투자손익이 감소했기 때문이며, 전분기대비 이익이 증가한 이유는 CSM손익 증가에 따른 보험서비스 손익 증가와, 투자손익이 개선되었기 때문.  2024년 1분기 삼성생명의 보험손익은 2,680억원으로 전년동기대비 30.2% 감소했으나, 전분기에 비해서는 10.5% 증가함. 전년동기대비 감소한 이유는 IBNR 제도 변경에 따른 일회성 추가 적립(약780억원)이 발생했기 때문인데, CSM 상각이익은 안정적인 흐름을 보임. 투자손익은 5,630원으로 전년동기대비 1.7% 소폭 감소를, 전분기에 비해서는 50.9% 증가함. 전년동기에 대규모 일회성 손익에 따른 기저효과에도 불구 견조한 투자손익을 시현한 것으로 평가함. 2024년 3월말 기준 삼성생명의 CSM은 12.5조원으로 전년말대비 0.3조원 증가했는데, 신계약 확대 및 보유계약의 효율적 관리로 인한 가시적인 효과가 발생하고 있기 때문. 신계약 CSM은 8,580억원으로 전년동기대비 1.4% 증가했으며, 신계약 CSM 중 건강 비중이 53.5%로 전년동기대비 21.6%p나 증가함. 2024년 3월말 지급여력비율(K-ICS)은 210%로 예상되는데, 최근 K-ICS 제도 강화(할인율 인하 및 기초가정리스크 신설)에도 불구하고 신계약 CSM 확대 및 금리/주가 상승에 힘입어 견조한 수준을 시현한 것으로 판단.","110,000",Buy,24.05.20,교보증권
배당의 화신으로 변신,"올해 1분기 어닝 서프라이즈
동사 올해 1분기 K-IFRS 연결기준 실적의 경우 매출액 13,746억원(-17.2% YoY, +32.4% QoQ), 영업이익 2,086억원(흑자전환 YoY, -57.7% QoQ)으로 어닝 서프라이즈를 기록하였다. 매출액 감소 요인은 SMP 하락으로 인하여 전기 판매단가가 전년동기대비 37.3% 하락하였기 때문이다. 다만 열 판매단가가 전년동기대비 11.2% 상승하면서 매출 하락폭을 축소시켰다. 참고로 열 판매단가의 경우 2022년에 세차례 인상(주택용 총 요금 기준 4월 2.35%, 7월 9.81%, 10월 18.09%) 하였으며, 2023년에도 추가적인 열요금 인상(6월 4.25%, 7월 7.00%)이 이뤄졌다. 또한 영업이익이 대폭적으로 상승한 요인은 그 동안의 열 판매단가 상승과 더불어 LNG 단가가 전년동기 대비 36.0% 하락하였으며, 무엇보다 회계처리 변경으로 인하여 1분기 발생 연료비 미정산분(약 550억원)을 비금융기타자산(미수금)으로 인식하였기 때문이다. 참고로 LNG 단가의 경우 2022년 4분기 1,586원/N㎥을 기록한 이후 2023년에는 분기별로 각각 1,503원/N㎥, 989원/N㎥, 935원/N㎥, 916원/N㎥을 기록하면서 지속적으로 하락하였다. 다만, 올해 1분기에는 유가상승으로 인하여 전분기대비 5.0% 상승한 962원/N㎥을 기록하였다.",,없음,24.05.20,하이투자증권
인내의 시작,"1분기 영업적자 68.9억원으로 적자 확대
1분기 매출액 108.9억원 (+3.1% YoY, -35.5% QoQ), 영업적자 68.8억원 (적자지속)을 기록했다. 작년 1분기 적자 45억원, 지난 분기 적자 31억 대비 적자 폭이 확대되었다. 사측이 밝힌 실적 부진의 원인은 1) 고금리 지속, 2) 중동 전쟁, 3) 유럽 회복세 지연 등에 따른 시장 부진을 꼽았다. 영업 적자가 확대된 이유 중 일회성 요인으로는 1) CES 행사 참가에 따른 비용 발생, 2) R&D 투자 세액 공제 관련 일회성 용역 수수료 비용으로 밝혔다. 지역별 매출 성장률은 북미 +79.4% (이하 YoY), 국내 +14.4%, 유럽 -47.7%, 기타 아시아 -21%이다. 매출 비중은 국내 46%, 북미 32%, 유럽 18% 및 기타 아시아 국가 4%이다.","67,000",중립,24.05.21,DS투자증권
"2024년 2 ~ 3분기, 3가지 변화에 주목!","2024년 1분기 영업이익 306억원, 소폭 개선
2024년 1분기 실적은 ‘매출액 1.2조원, 영업이익 306억원(영업이익률 2.6%), 지배주주 순이익 179억원’ 등이다. 영업이익은 전년 동기 289억원 대비 6% 소폭 개선된 수치이다. 패션 사업부문 계절성(성수기 2분기, 4분기)이 뚜렷해, 전분기와 비교하는 것은 의미가 크지 않다. 산업자재, 패션부문 성장이 정체된 가운데, 적자사업인 필름 구조조정을 앞두고 명예퇴직비용 50억원이 발생되었다. 부문별 이익은 ‘산업자재 부문 318억원(전년동기 347억원), 화학부문 155억원(전년동기 169억원), 패션부문 24억원(전년동기 56억원), 필름/기타 △191억원(전년 △283억원)’ 등이다.","70,000",Buy,24.05.21,유안타증권
다 따져봐도 정말로 싼 편,"다 따져봐도 다소 과도한 밸류에이션 디스카운트
현대해상은 경쟁사 대비 1) 상대적으로 부진한 예실차 손익 및 2) 이로 인한 4Q23 중 대규모 손실계약비용 및 3) 다소 낮은 수준의 K-ICS 비율 등 요인으로 상위사 중 가장 큰 폭의 밸류에이션 디스카운트를 받는 모습이 나타났다. 다만 예실차 손익의 경우 23년 중 발생한 어린이보험 관련 실손 손해율 악화 등 기저효과를 감안했을 때 24년에는 전반적으로 개선될 것으로 예상되며 실제로 1Q24 보험금 예실차는 전년 동기 대비 약 174억원 개선된 313억원의 손실을 기록하는 모습이 나타났다. 2Q23 중 예실차 관련 손실이 대거 발생한 점을 감안했을 때 하반기로 갈 수록 뚜렷한 예실차 손익 개선을 확인할 수 있을 것으로 예상된다. 또한 4Q23 중 발생한 대규모 손실계약비용에 있어서도 1Q24 중 세칙 개정으로 발생한 약 2,700억원 규모의 환입을 감안하면 향후 관련 실적 변동성 요인이 전반적으로 개선되는 모습이 나타날 것으로 예상된다. K-ICS 비율의 경우 할인율 제도 강화 등 영향으로 1Q24 중 약 167.8%(-5.4%p QoQ)로 낮아진 만큼 다른 상위권사처럼 적극적으로 주주 환원 정책을 제시하기는 어려울 것으로 예상되지만 후순위채 발행, 재보험 출재 등을 통해 170% 수준을 유지하는데 어려움은 없을 것으로 전망되는 만큼 안정적인 DPS 상승세가 나타날 것으로 예상된다. 현재 동사의 밸류에이션은 24E PER 2.6배(일회성 이익 2,700억원 영향 존재), PBR 0.49배로 삼성(PER 8.7배, PBR 1.08배), DB(PER 4.2배, PBR 0.81배) 대비 다소 과도하게 할인되어 있는 만큼 충분히 저가매수 관점의 접근이 유효할 전망이다.","43,000",매수,24.05.21,SK증권
Update: 그룹의 성장 동력 재확인,"일부 프로젝트 매출 인식 이연에도 1분기 실적 호조 지속
1분기 매출액 7,313억원 (+9.8% YoY), 영업이익 307억원 (+0.5% YoY)의 양호한 실적을 기록했다. 장기 성장 모멘텀인 차량용 소프트웨어 매출액이 18.5% YoY의 높은 성장을 기록했다는 점에서 긍정적으로 평가할 수 있다. 내비 소프트웨어 탑재율 상승과 완성차 고사양에 따른 ASP 믹스 개선의 영향으로 풀이된다. 모빌진 Classic과 ADAS 소프트웨어 플랫폼 확대 적용도 긍정적이다. 소프트웨어 부문과 SI부문의 일부 프로젝트 인식이 2월로 이연 되었음에도 불구하고 상당히 높은 성장을 보인 점이 눈에 띈다. ITO (IT Outsourcing)의 매출액도 +11.7% YoY의 양호한 성장을 기록했다. 그룹의 디지털 전환 대응을 위한 IT 운영 비중 확대와 현대차 연구소 해석용 장비 및 라이선스 공급 증가에 기인한다. SI (System Integration)는 2% YoY의 낮은 성장을 기록했으나 일부 프로젝트 매출 인식의 지연에 기인한다 (2분기 반영예정). 인건비 및 경비 증가에 따른 판관비 증가와 일부 매출 인식 이연 등으로 영업이익률은 4.2%로 낮아졌으나 2분기부터는 경상적 수준의 이익률 회복이 예상된다.","210,000",매수,24.05.21,DS투자증권
AI의 수익화,"투자의견 Buy, 목표주가 220,000원으로 커버리지 개시
투자의견 Buy, 목표주가 220,000원으로 커버리지를 개시한다. 12M Forward EPS 10,138원에 Target PER Multiple 22배를 적용했다. Target Multiple은 높은 영업이익률을 기록했던 2018~2020년의 12M Forward PER이다. 삼성에스디에스는 생성형 AI의 수익화를 확인할 수 있는 기업이다. 기업용 생성형 AI 서비스는 2024년 하반기를 시작으로 2025년부터 실적에 기여가 본격화될 전망이다. 고객사의 AI 도입이 실적으로 가시화되면서 리레이팅이 이뤄질 것으로 판단한다. 5.4조원의 풍부한 현금성자산을 활용한 M&A와 주주환원 가능성 역시 잠재적인 상승 요인이다.","220,000",Buy,24.05.21,하나증권
Update: 24년 펀더멘털 턴어라운드,"24년 1분기 흑자 전환
24년 1분기 매출액 4,983억원 (-15% YoY), 영업이익 3,238억원 (흑자전환)을 기록했다. 실적 호조의 원인은 하이닉스를 필두로 주요 자회사의 실적 개선에 기인한다. 메모리 업황이 본격적으로 회복세 진입하고 AI향 고수익 제품 판매 비중 증가로 하이닉스는 2.9조원의 영업이익을 기록했다. 그 외 비상장 자회사들의 영업손실도 눈에 띄게 감소했다. 질적 측면에서도 개선됐다. 티맵의 MAU는 1,469만명 (+5.1% YoY)의 견조한 흐름을 보였으며 이에 따라 분기 매출은 791억원 (+30.4% YoY)의 높은 성장을 기록했다. 그 밖에 쉴더스 +9.1% YoY, 원스토어 +14.5% YoY 등의 양호한 외형 성장을 기록 중에 있다.","100,000",매수,24.05.21,DS투자증권
"전장 회복 시작, 하반기 DDR5 기대","바닥은 다졌다
1Q24 실적은 전장용 리드프레임(4Q23 620억원→1Q24 695억원)과 패키징 기판(4Q23 516억원→1Q24 547억원)의 매출 회복에 따라 영업이익 209억원(+28% QoQ, OPM 14%)을 기록하며 컨센서스 부합했다. 마진율 20~25% 수준으로 추정되는 전장용 리드프레임의 매출 회복으로 수익성도 전분기 대비 2.3%p 증가하였다. 전장용 리드프레임은 전방 차량용 반도체 고객사들의 재고 조정이 마무리 됨에 따라 분기별 수주 증가를 기대할 수 있다는 판단이다. 다만 레거시 IT 세트 수요 회복은 아직 부진한 상황으로 IT용 리드프레임은 여전히 전분기 대비 매출이 감소하는 모습이었다.","67,000",매수,24.05.21,DS투자증권
NDR 후기,"좋아질 일밖에 없다
탄탄한 펀더멘탈, 장미빛 벌크 업황, 매력적인 밸류에이션이 있지만 주가는 부진. 1) 실적, 2) 본업과 무관한 투자에 대한 우려 때문. NDR을 통해 두 가지 우려 모두 해소. 점차 센티 개선되면서 주가 반등 기대","7,000",매수,24.05.21,신한투자증권
외형 축소에도 영업이익률은 11.0% 기록,"1Q24 Review: 영업이익률 11.0% 기록
명신산업의 1분기 매출액/영업이익은 전년 동기대비 8%/8% 감소한 4,016억원/441억원(영업이익률 11.0%, +0.1%p (YoY))을 기록했다. 현대차/기아향 매출액은 5% (YoY) 증가한데 비해 글로벌 EV 업체향 매출액(비중 67%)은 원/달러 환율 상승에도 불구하고 고객의 생산 감소와 변동단가 하락 등이 겹쳐지면서 13% (YoY) 감소했다. 미국 법인들 합산 매출액이 19% (YoY) 감소했는데, 텍사스에 위치한 심원북미의 매출액이 23% (YoY) 증가했지만 캘리포니아에 위치한 심원미국의 매출액은 32% (YoY) 감소했다. 중국 법인들 합산 매출액도 6% (YoY) 감소했다. 외형 축소에도 영업이익률은 전년 동기 수준을 유지했는데, 인건비/감가상각비와 같은 고정성 비용의 증가가 제한적이었던 가운데, 운반보관료/수출경비/포장비 등과 같은 수출 관련 비용들이 단가 하락과 비용절감 활동 등으로 감소했기 때문이다. 세전이익과 순이익은 -2%/+5% (YoY) 변동한 502억원/384억원을 기록했는데, 영업이익이 감소했지만 영업외 외환손익이 개선된 영향이다.",,없음,24.05.21,하나증권
